画面名,title,meta_description,og_title,og_description,og_image,og_image_Bubble設定,h1,canonical_url,canonical_url_補足,index方針
トップページ,スポーツバイクをレンタル・試乗するならRINCLE｜全国のプロショップで安心体験,全国54店舗のプロショップでロードバイク・E-Bikeをレンタル。プロの整備で安心、ネットで簡単予約。初めてのスポーツバイク体験にも最適です。,スポーツバイクをレンタル・試乗するならRINCLE,全国54店舗のプロショップでロードバイク・E-Bikeをレンタル。プロの整備で安心、ネットで簡単予約。,https://rincle.co.jp/og-image.png,固定画像URL,全国のプロショップでスポーツバイクをレンタル,https://rincle.co.jp/,固定URL,index
検索画面（動的）,スポーツバイクを検索｜RINCLE,エリア・日付・車種でスポーツバイクを検索。全国54店舗のプロショップから空き状況をリアルタイムで確認できます。,スポーツバイクを検索｜RINCLE,エリア・日付・車種でスポーツバイクを検索,https://rincle.co.jp/og-image.png,固定画像URL,スポーツバイクを検索,https://rincle.co.jp/search,?以降のパラメータ（area/date/type等）を除いたベースURLを設定。検索条件が違うだけで同じページ,index（パラメータ付きURLはcanonicalで集約）
店舗一覧,店舗一覧｜RINCLE - スポーツバイクレンタル,RINCLEのパートナーショップを検索。全国54店舗から最寄りの店舗を見つけてスポーツバイクをレンタルできます。,店舗一覧｜RINCLE,全国54店舗から最寄りの店舗を検索,https://rincle.co.jp/og-image.png,固定画像URL,店舗を探す,https://rincle.co.jp/shop_list,固定URL,index
店舗詳細（動的）,{店舗名}｜ロードバイク・E-Bikeレンタル｜RINCLE,{店舗名}でロードバイク・E-Bikeをレンタル。{最寄り駅}からアクセス良好。プロスタッフが初心者にも丁寧にサポートします。,{店舗名}｜RINCLE,{店舗名}でスポーツバイクをレンタル。プロの整備で安心体験。,Current Page Shop's cover_image,動的: Current Page Shop's cover_image,{店舗名},https://rincle.co.jp/shop_detail/{店舗ID},店舗IDまでがcanonical。?ref=topなどのトラッキングパラメータは除去,index（SEOの主力ページ）
車種一覧,レンタルできる車種一覧｜RINCLE - スポーツバイクレンタル,ロードバイク・クロスバイク・E-Bikeなど多数の車種からレンタル可能。ブランド・予算・目的で絞り込み検索できます。,レンタルできる車種一覧｜RINCLE,ロードバイク・クロスバイク・E-Bikeなど多数の車種をレンタル,https://rincle.co.jp/og-image.png,固定画像URL,レンタルできる車種一覧,https://rincle.co.jp/bike_list,固定URL,index
車種詳細（動的）,{車種名}をレンタル｜{店舗名}｜RINCLE,{車種名}を{店舗名}でレンタル。{フレーム素材}フレーム、{コンポーネント}搭載。1日{料金}円〜。プロの整備で安心。,{車種名}をレンタル｜RINCLE,{車種名}を1日{料金}円〜でレンタル。プロの整備で安心。,Current Page Bike's photo,動的: Current Page Bike's photo,{車種名},https://rincle.co.jp/bike_detail/{車種ID},バイクIDまでがcanonical。?from=searchなどのパラメータは除去,index（SEOの主力ページ）
予約ページ,レンタル予約｜RINCLE - スポーツバイクレンタル,RINCLEでスポーツバイクのレンタル予約。最短2分で完了。悪天候時は無料キャンセル。,レンタル予約｜RINCLE,スポーツバイクのレンタル予約。最短2分で完了。,https://rincle.co.jp/og-image.png,固定画像URL,レンタル予約,https://rincle.co.jp/reserve,固定URL,noindex推奨（予約フロー途中のページ。検索流入は不要）
会員登録,無料会員登録｜RINCLE - スポーツバイクレンタル,RINCLEの会員登録は無料。メールアドレスだけで簡単登録。全国のプロショップでスポーツバイクをレンタルできます。,無料会員登録｜RINCLE,無料会員登録。メールアドレスだけで簡単。,https://rincle.co.jp/og-image.png,固定画像URL,無料会員登録,https://rincle.co.jp/register,固定URL,noindex推奨（検索流入の価値が低い機能ページ）
ログイン,ログイン｜RINCLE - スポーツバイクレンタル,RINCLEにログインして予約状況の確認・新規予約ができます。,ログイン｜RINCLE,RINCLEにログイン,https://rincle.co.jp/og-image.png,固定画像URL,ログイン,https://rincle.co.jp/login,固定URL,noindex推奨（検索流入の価値が低い機能ページ）
マイページ,マイページ｜RINCLE - スポーツバイクレンタル,予約履歴の確認・会員情報の変更・レビュー投稿ができます。,マイページ｜RINCLE,予約履歴の確認・会員情報の変更,https://rincle.co.jp/og-image.png,固定画像URL,マイページ,https://rincle.co.jp/mypage,固定URL,noindex必須（ログイン後の個人情報ページ）
