No,進捗,メール,送付タイミング,誰に送るか,件名,文書
1,実装済,メールアドレス確認メール,新規会員登録したとき,ユーザー,【Rincle】メールアドレスのご確認,"Rincleをご利用いただきありがとうございます。

以下の6桁の確認コードを登録画面にご入力ください。

🔒 確認コード：{確認コード}

※コードを他人と共有しないようご注意ください。

ご不明点がございましたら、お気軽にお問い合わせください。"
2,実装済,アカウント登録完了メール,新規会員登録が完了したとき,ユーザー,【Rincle】アカウント登録完了,"{氏名}様

この度はRincleにご登録いただき、誠にありがとうございます。
アカウントの登録が正常に完了しましたので、お知らせいたします。

━━━━━━━━━━━━━━━━━━━━
■登録情報
・ユーザー名：{氏名}
・登録メールアドレス：{メールアドレス}
━━━━━━━━━━━━━━━━━━━━

ご登録いただいたアカウントで、すぐにサービスをご利用いただけます。
ログインはこちらから：{ログインURL}"
3,実装済,パスワード再設定メール,アカウント登録完了メール,ユーザー,Rincle｜パスワード再設定,"RINCLEのパスワード変更のリクエストを受けました。
もしあなたがこのリクエストを送信していない場合、このeメールは無視してください。もしお送りいただいているのなら、下のリンクからあなたのログイン情報を変更できます。

{パスワードリセットURL}"
4,協議中,新メールアドレス確認メール,メールアドレス変更申請したとき,ユーザー,【重要】メールアドレス変更のお知らせ,"メールアドレス再設定リクエストを受け付けました。
下記URLから新メールアドレスの認証を行ってください。

▼メールアドレス認証はこちら
{認証URL}

※このリンクの有効期限は24時間です。"
5,実装済,予約確定メール,予約確定したとき,ユーザー,【Rincle】ご予約の確認,"この度はRINCLEをご利用いただき、誠にありがとうございます。
以下の内容でご予約が確定いたしました。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【ご予約内容】
■予約番号：#{予約番号}
■ご利用日：{貸出日時}
■返却予定日時：{返却日時}
■ご利用店舗：{店舗名}
　Googleマップ：{マップURL}
■ご利用バイク：{バイク情報}

【レンタル料金】
■基本料金：¥{料金}
■合計金額：¥{合計}"
6,実装済,予約キャンセル通知メール,予約キャンセルしたとき,ユーザー,【Rincle】ご予約のキャンセル,"この度はRINCLEをご利用いただき、誠にありがとうございます。
以下の予約がキャンセルされました。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【ご予約内容】
■予約番号：#{予約番号}
■キャンセル日：{キャンセル日}
■ご利用予定日：{貸出日時}
■返却予定日時：{返却日時}
■ご利用店舗：{店舗名}
■ご利用バイク：{バイク情報}

【レンタル料金】
■基本料金：¥{料金}
■合計金額：¥{合計}"
7,協議中,決済失敗通知メール,決済失敗したとき,ユーザー,【重要】お支払いに失敗しました,"お客様のご予約に際し、お支払い処理に失敗いたしました。

お手数ですが、カード情報をご確認のうえ、再度お試しいただくか、別のカードをご利用ください。

予約を続ける場合はこちら：{予約URL}

※ご不明点はお問い合わせください。"
8,実装済,お問い合わせ受付メール,お問い合わせ送信したとき,ユーザー,（RINCLE）お問い合わせを受け付けました,"{氏名}様

このたびはRINCLEへお問い合わせいただき、誠にありがとうございます。
以下の内容でお問い合わせを受け付けました。担当者より改めてご連絡いたします。

―― お問い合わせ内容の控え ――
【お問い合わせ種別】{種別}
【お名前】{氏名}
【メール】{メールアドレス}
【お問い合わせ内容】
{内容}

※ご入力いただいたメールアドレスに誤りがないかご確認ください。"
9,協議中,退会完了メール,退会手続き完了したとき,ユーザー,【重要】退会手続き完了のお知らせ,"この度はRINCLEをご利用いただき、誠にありがとうございました。

ご退会の手続きが完了しましたことをお知らせいたします。
これまでのご利用に感謝申し上げます。

※退会後はログインできなくなります。
※ご予約データは一定期間保持されます。"
10,実装済,加盟店申請案内メール,管理者が店舗候補に招待時,店舗,Rincle｜加盟店申請のご案内,"お世話になっております、Rincle運営です。

以下のURLより加盟店情報のご登録と、クレジットカードの利用申請をよろしくお願いいたします。

{shop_formURL}"
11,実装済,審査通過通知メール,Pay.JP審査通過時,店舗,審査通過のご案内,"{担当者名}様

決済サービス側での審査が通過しましたことをお知らせいたします。

以下のページからログインを行い、詳細な店舗情報の登録にお進みください。
{shop_admin_loginURL}"
12,実装済,審査否決通知メール,Pay.JP審査否決時,店舗,審査否決のご案内,"{担当者名}様

決済サービス側での審査が却下されましたことをお知らせいたします。"
