アクター,画面ID,画面名,URL,SPA種別,認証要否,機能ID範囲,E2Eテスト状況,備考
利用者,SCR-U01,トップページ（検索）,/index,Bubbleページ,不要,U-01〜U-12,PASS,空車検索・新着情報・TOPICS・キャンペーン・ログイン/ログアウト
利用者,SCR-U02,検索結果・自転車一覧,/index,indexページ内遷移,不要,U-16〜U-18,PASS,検索実行後に同一ページ内で結果表示。URL変化なし
利用者,SCR-U03,自転車詳細,/index,indexページ内遷移,不要,U-19〜U-27,PASS,自転車選択後に同一ページ内で詳細表示。「予約画面へ進む」ボタンあり
利用者,SCR-U04,カート（予約手続き）Step1-3,/index/cart,indexサブパス,不要,U-28〜U-36,PASS,空車確認→顧客情報入力→予約内容確認の3ステップ
利用者,SCR-U05,支払い方法選択（カード登録）,/index/howtopay,indexサブパス,要（ログイン）,U-32〜U-37,PASS,オンライン決済（Pay.JP Checkout.js）/ 店頭決済の選択。カード登録はここで実行
利用者,SCR-U06,予約確認・完了,/index/cart,indexサブパス（Popup）,要（ログイン）,U-38〜U-40,PASS,予約確認ダイアログ→確定→完了表示
利用者,SCR-U07,マイページ,/index/mypage,indexサブパス,要（ログイン）,U-45〜U-48,PASS,ユーザー情報表示・アカウント編集・予約一覧・退会
利用者,SCR-U08,アカウント編集,/index/edit,indexサブパス,要（ログイン）,U-49〜U-50,PASS,アカウント情報変更フォーム
利用者,SCR-U09,予約一覧,/user_reservation_list,Bubbleページ,要（ログイン）,U-53〜U-62,PASS,予約状況一覧・過去の予約・キャンセルボタン
利用者,SCR-U10,ガイド（ご利用の流れ）,/index/guide,indexサブパス,不要,U-69,PASS,ご利用の流れ表示
利用者,SCR-U11,料金案内,/index/howtopay,indexサブパス,不要,U-70,PASS,料金情報表示（支払い方法選択と同一URL。ログイン状態で表示内容が変わる）
利用者,SCR-U12,新着情報詳細,/index/news_detail,indexサブパス,不要,U-71〜U-72,PASS,お知らせ内容表示
利用者,SCR-U13,TOPICS詳細,/index/topics_detail,indexサブパス,不要,U-73〜U-74,PASS,トピックス内容表示
利用者,SCR-U14,よくある質問,/index/faq,indexサブパス,不要,U-75,PASS,FAQ表示
利用者,SCR-U15,プライバシーポリシー,/index/privacypolicy,indexサブパス,不要,U-76,PASS,プライバシーポリシー表示
利用者,SCR-U16,お問い合わせ,/index/contact,indexサブパス,不要,U-77〜U-78,PASS,問い合わせフォーム
利用者,SCR-U17,検索ページ,/search,Bubbleページ,不要,U-63〜U-68,PASS,エリア・カテゴリ・キーワード検索。TOPとは別の検索専用ページ
利用者,SCR-U18,パスワードリセット,/reset_pw,Bubbleページ,不要,U-79〜U-81,PASS,パスワード再設定フォーム
店舗管理者,SCR-S01,店舗管理ログイン,/shop_admin_login,Bubbleページ,不要,S-01〜S-08,PASS,メール/パスワード認証。パスワードリセットPopupあり
店舗管理者,SCR-S02,予約一覧,/shop_admin?page=reservation,SPAサブページ,要（店舗ログイン）,S-09〜S-27,PASS,予約リスト・CSVダウンロード・フィルタ。ライド開始/終了/延長はPopupから操作
店舗管理者,SCR-S03,過去の予約,/shop_admin?page=old_reservation,SPAサブページ,要（店舗ログイン）,S-35〜S-36,PASS,過去の予約一覧
店舗管理者,SCR-S04,売上レポート,/shop_admin?page=sales,SPAサブページ,要（店舗ログイン）,S-37〜S-38,PASS,年間売上棒グラフ・期間フィルタ
店舗管理者,SCR-S05,利用料管理,/shop_admin?page=pay,SPAサブページ,要（店舗ログイン）,S-39〜S-40,未テスト,売上レポートリスト・支払い並び替え
店舗管理者,SCR-S06,顧客一覧,/shop_admin?page=customer_all,SPAサブページ,要（店舗ログイン）,S-41〜S-52,PASS,顧客リスト・検索・ソート。詳細/編集はPopup
店舗管理者,SCR-S07,自転車一覧,/shop_admin?page=bicycle_all,SPAサブページ,要（店舗ログイン）,S-52〜S-76,PASS,自転車リスト・追加/編集/詳細/在庫設定はPopup
店舗管理者,SCR-S08,オプション管理,/shop_admin?page=options,SPAサブページ,要（店舗ログイン）,S-77〜S-93,PASS,オプションリスト・追加/編集/詳細/在庫設定はPopup
